questionnaire_id,subject_patient_id,encounter_id,author_practitioner_id,practitioner_location_id,practitioner_organization_id,practitioner_id,practitioner_careteam_id,application_version,qr_id,add_family_member,add_family_member_2,add_family_member_3,add_family_member_4,add_family_member_5,q_age,add_family_member_7,add_family_member_8,add_family_member_9,add_family_member_10,add_family_member_11,add_family_member_12,choice_gender_identity,choice_pronouns,you_medicaid,add_family_member_16,email_address,add_family_member_18,medicaid_number,other_best_represents,other_biological_sex,other_gender_identity,other_pronouns,other_you_first,phone_number,physical_address,you_first_learn,zip_code,anonymized_at
Questionnaire/221,6f6ef58a-c749-40f6-b6ca-a75d5fc7cccf,,be6524e7-02c8-4e55-a452-e14ccd7b333a,90122307-ff6a-4b41-93b7-471c4da23af5,8223aa6f-5261-4a61-aaa3-8aa4ed324b03,be6524e7-02c8-4e55-a452-e14ccd7b333a,83586171-9bac-426a-aae5-798bf548e15e,2.0.1-engage,01c530e6-a33c-4473-8d51-dcf0662f7ca6,Date of Birth Unknown,,Female,39,Y,39,,,,,,,,,,Kapiyo,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,bdc05f70-b96f-4d37-9225-5b54b9af451c,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,d66f38ae-e5e7-4456-ae85-331284676dc6,Not defined,0201d372-737f-4d7e-80a7-5fb3b4369b03,,,Male,,Robin,,,,,1,0,2024-05-23,,,,Christopher,,Male,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,7e764e12-8e00-4f05-a63a-a424e06587b8,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.2.0-engage,026c83dd-7862-4ad5-8d2b-8670164fb394,Date of Birth Unknown,,,34,28,34,,46744,,,,,Man,,,test scheduling,,Male,,,,,,,,a,,675,2025-09-11 15:14:42.313387+00
Questionnaire/221,e7a729dc-cea1-4ae3-976c-b1077c4feb66,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,d66f38ae-e5e7-4456-ae85-331284676dc6,Not defined,0341c27b-cd0e-44d5-89da-3a327d846970,Date of Birth Unknown,,Non-binary,26,,26,,,,,,,,,,Test client A,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,27cdd4bb-01e1-4be9-b470-5061031d62a4,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.0.1-engage,0398c2c3-17b7-4c8d-a924-cbeb1ab451e1,Date of Birth Unknown,,Female,39,,39,,,,,,,,,,Boyd,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,3dafa36b-430f-4040-b988-be11d85f9042,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.0.2-engage,03a6f73f-c8f1-4a21-8d90-a75549138894,,IPC,Female,,Doe,32,32,,,2,32,1992-12-12,,,,Jane,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,afdef486-f804-4e6d-82cc-e85bf8e3b06f,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,04f8124e-cbb0-4fa2-a471-3d08f6fdcd5f,,,Straight,,Test,58,58,12345,,1,58,1967-08-15,Woman,She/her/hers,,SouthA Test,,Female,,,,,,,,aaaa,,123545,2025-09-11 15:14:42.313387+00
Questionnaire/221,ea66c674-cd80-48f9-80fb-5e60f73a998b,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,06222351-f95b-482f-b13c-49e73383783b,,,Straight,,Man,29,29,Prqatice123,,8,29,1996-01-01,Man,He/him/his,,0practice,,Male,,,,,,,,123 mulberry street,Mental health clinic,,2025-09-11 15:14:42.313387+00
Questionnaire/221,d94d73b1-1876-45e3-880e-4f1264e68423,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.0.1-engage,0665b2e3-8583-42a0-bc2f-5122445fe8e9,Date of Birth Unknown,,Female,33,,33,,,,,,,,,,Between ,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,9fc13911-d7a1-4f3b-99e8-5235e9b5f2b1,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,d66f38ae-e5e7-4456-ae85-331284676dc6,Not defined,06a1e0f3-7b1e-4070-af5b-71ffcb758bca,Date of Birth Unknown,,Female,25,,25,,,,,,,,,,Gabourey ,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,f1734e7d-7f91-47ff-92a6-5da027eaca3b,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,d66f38ae-e5e7-4456-ae85-331284676dc6,Not defined,06da0858-cb9c-4443-b943-38fd32ec86ab,,,Female,,Richards,,,345678,,8,34,1989-10-10,,,,Kelly,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,75994387-97f8-4e6e-932b-39c89d3d5362,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.0.0-engage,088edd1b-35d4-43f4-baac-d388afc24df9,Date of Birth Unknown,,Female,39,Ali,39,,Th236&,,,,,,,,Juma,,Prefer not to answer,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,240c116a-be0b-4703-8d27-165e51d8ccc1,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.0.0-engage,08f119e1-0dc5-4e2f-9a28-a83f9acb02f4,Date of Birth Unknown,,Non-binary,36,Stone,36,,369586,,,,,,,,John,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,02d52bc8-77e2-4c83-be4f-310159aaa961,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,09e7f215-8370-45c6-8d28-af3189fde52d,Date of Birth Unknown,,Straight,35,Mwikali,35,,0817266,,,,,Woman,She/her/hers,,Cindy,mwikali@gmail.com,Female,,,,,,,348166161,Nairobi,Primary healthcare clinic,0097,2025-09-11 15:14:42.313387+00
Questionnaire/221,04130cbf-5666-4ef3-b219-7dbb139ed433,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,0a92ee98-1901-49cb-978d-90b449729aff,Date of Birth Unknown,,Straight,38,Patient,38,,010828282,,,,,Woman,She/her/hers,,Tester,testerpatient@gmail.com,Female,0198171,,,,,,094646488,Kilimani,Shelter,,2025-09-11 15:14:42.313387+00
Questionnaire/221,e4f9e9ed-2dac-4fe1-a307-0f8d74ab01b5,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.2.0-engage,0aa884fc-eccf-4084-8e27-d134de4378f3,Date of Birth Unknown,,,44,25,44,,42155,,,,,Man,,,test scheduling,,Male,,,,,,,,a,,2443,2025-09-11 15:14:42.313387+00
Questionnaire/221,bda7766b-ccb0-4dcf-a24d-e298f084826f,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,0ab12de1-2710-429a-9127-654aae9f2b70,Date of Birth Unknown,,Straight,55,Test,55,,1111111,,,,,Woman,She/her/hers,,Assessments test,,Female,111222,,,,,,121348466,13 qqqq,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,2c5733fb-7f32-4550-b869-459f173145a6,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.0.0-engage,0b820700-17ee-49a8-ae39-511cdf50a466,Date of Birth Unknown,,Non-binary,29,Anathi ,29,,558806,,,,,,,,Mc,,Intersex,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,d23308fd-e876-4d51-b86d-f92a4912e8cc,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.2.0-engage,0cb2a7bb-1b9b-462f-888c-fe238063da1e,Date of Birth Unknown,,,34,27,34,,68567,,,,,Man,,,test scheduling,,Male,,,,,,,,a,,4254,2025-09-11 15:14:42.313387+00
Questionnaire/221,e46cfb04-37da-4a45-bee1-f8ae9180208d,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,0e014fc1-8c97-4012-8b36-a6c50f2e1b19,,Mwendwa,Bisexual,,Muli,36,36,8273663,,9,36,1988-08-09,Transgender man,They/them/theirs,,Mark,mmwendwa@gmail.com ,Male,71627,,,,,Dispensary,946484816,Kiambu,Other healthcare setting,,2025-09-11 15:14:42.313387+00
Questionnaire/221,355a22b5-a763-4f64-8985-477ae16f2adb,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,0f184311-d9b1-45a0-9555-cb7861ce5b88,,,Gay,,Makonde,46,46,826268,,7,46,1978-12-15,Non-binary,They/them/theirs,,Simon,simonk9@gmail.com,Male,,,,,,,38464649,Jacaranda,Shelter,,2025-09-11 15:14:42.313387+00
Questionnaire/221,9a888a17-b426-4596-8d17-707197d97541,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,d66f38ae-e5e7-4456-ae85-331284676dc6,Not defined,0f40ad4b-b134-4627-b94e-4931c506339f,Date of Birth Unknown,,Male,22,Cursor 1,22,,573758,,,,,,,,Test,,Male,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,fabb98ca-b2f0-41c7-81ce-111b2cf066b6,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.0.0-engage,0f917069-0787-42b4-a14c-235d1615cc47,Date of Birth Unknown,,Male,41,Simpson,41,,,,,,,,,,Homer,,Male,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,9c6cfa0d-aa1d-48bf-8198-c814c2237f9f,,b8c458e3-fec6-438b-857f-5b5e80217465,10066c02-fae2-4c40-ba58-0222e94fa2c2,bad3b4b9-292e-4b40-bf9e-9d257cab407e,b8c458e3-fec6-438b-857f-5b5e80217465,83586171-9bac-426a-aae5-798bf548e15e,2.0.1-engage,0ff44068-643d-4bbf-9728-33889c1fa03f,Date of Birth Unknown,,Female,39,Tree,39,,,,,,,,,,Apple ,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,b7a81c13-4708-4763-9802-3e034e474ad6,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,Not defined,10ac287d-8c02-485a-9e87-044adb9d4c73,Date of Birth Unknown,Sep,Female,36,16,36,,,,,,,,,,Debbie ,,None of these describe me,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,cfa5017c-4455-4116-8ec2-420f45c7465a,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,d66f38ae-e5e7-4456-ae85-331284676dc6,Not defined,11401b6d-30b4-4cdb-917a-8ffca1da18f5,,,Male,,Ko,,,495729,,9,138,1885-10-25,,,,Jack,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,7fd5c367-6967-4d93-8eb1-036706fc6ed0,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,Not defined,1173f6b6-588a-4b38-85ad-4f9fa26b9901,Date of Birth Unknown,R,Male,30,Twist,30,,1234567890,,,,,,,,Olive,,Male,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,04be3f7c-e4d3-4138-988c-3ac6b5acfc3b,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,d66f38ae-e5e7-4456-ae85-331284676dc6,Not defined,1293503f-2859-4382-9eaa-2a1af6c15ead,Date of Birth Unknown,,Non-binary,36,Client,36,,,,,,,,,,Qa ,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,af047a8f-1db2-4b9f-9cf0-2f716e519352,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,131ca7e7-3628-4c1d-b626-395dc1d864e3,Date of Birth Unknown,,Straight,38,Kimani,38,,091717,,,,,Woman,She/her/hers,,Zuri,zurikim@gmail.com,Female,01816,,,,,,,Kiambu,Primary healthcare clinic,001817,2025-09-11 15:14:42.313387+00
Questionnaire/221,d9502b4c-258a-4538-8250-074c1ff03e25,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,Not defined,13357053-5540-4cff-9ac0-33f81d0676f7,Date of Birth Unknown,,Male,23,,23,,,,,,,,,,Cheese land,,,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,d3965e90-f96f-4a34-a85a-858ed53a5510,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.3-engage,1478394a-6b21-45be-ac92-7eee7a784246,Date of Birth Unknown,,,34,Latte 2,34,,5255,,,,,Man,,,Test,,Male,,,,,,,,address,,zip,2025-09-11 15:14:42.313387+00
Questionnaire/221,b3f5f5f6-b98b-4c4d-874d-9868615909ac,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,ee1b8cf2-2f4a-447c-bbb5-d63c674aff01,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.2.0-engage,1566c8a0-93fd-406e-9c83-0fa7693343f7,Date of Birth Unknown,,,55,Test,55,,122356,,,,,Woman,She/her/hers,,SK2 APK5 Test,,Female,,,,,,,,Na,,NA,2025-09-11 15:14:42.313387+00
Questionnaire/221,533547f8-9da4-4ed1-9b72-b5a2589b3a89,,5859d5f3-d37b-4a28-a68f-5ce1aaac611f,7a2bad81-130f-4785-8438-af7aac92fedf,602ec278-054a-473e-a553-957bd5ac8c6f,5859d5f3-d37b-4a28-a68f-5ce1aaac611f,83586171-9bac-426a-aae5-798bf548e15e,2.0.2-engage,159195a7-dc08-49ba-b99d-bdeeb83a47f2,Date of Birth Unknown,,Female,39,,39,,,,,,,,,,Beverly ,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
